cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,concrete_compressive_strength
166.8,250.2,0,203.5,0,975.6,692.6,28,33.95
200,133,0,192,0,965.4,806.2,3,11.41
108.3,162.4,0,203.5,0,938.2,849,28,20.59
305.3,203.5,0,203.5,0,965.4,631,7,25.89
108.3,162.4,0,203.5,0,938.2,849,90,29.23
116,173,0,192,0,909.8,891.9,90,31.02
141.3,212,0,203.5,0,971.8,748.5,7,10.39
157,236,0,192,0,935.4,781.2,28,33.66
133,200,0,192,0,927.4,839.2,28,27.87
250.2,166.8,0,203.5,0,977.6,694.1,7,19.35
173,116,0,192,0,946.8,856.8,7,11.39
192,288,0,192,0,929.8,716.1,3,12.79
192,288,0,192,0,929.8,716.1,28,39.32
153,102,0,192,0,888,943.1,3,4.78
288,192,0,192,0,932,717.8,3,16.11
305.3,203.5,0,203.5,0,965.4,631,28,43.38
236,157,0,192,0,972.6,749.1,7,20.42
173,116,0,192,0,946.8,856.8,3,6.94
212,141.3,0,203.5,0,973.4,750,7,15.03
236,157,0,192,0,972.6,749.1,3,13.57
183.9,122.6,0,203.5,0,959.2,800,90,32.53
166.8,250.2,0,203.5,0,975.6,692.6,7,15.75
102,153,0,192,0,887,942,7,7.68
288,192,0,192,0,932,717.8,28,38.8
212,141.3,0,203.5,0,973.4,750,28,33
102,153,0,192,0,887,942,28,17.28
173,116,0,192,0,946.8,856.8,28,24.28
183.9,122.6,0,203.5,0,959.2,800,28,24.05
133,200,0,192,0,927.4,839.2,90,36.59
192,288,0,192,0,929.8,716.1,90,50.73
133,200,0,192,0,927.4,839.2,7,13.66
305.3,203.5,0,203.5,0,965.4,631,3,14.14
236,157,0,192,0,972.6,749.1,90,47.78
108.3,162.4,0,203.5,0,938.2,849,3,2.33
157,236,0,192,0,935.4,781.2,7,16.89
288,192,0,192,0,932,717.8,7,23.52
212,141.3,0,203.5,0,973.4,750,3,6.81
212,141.3,0,203.5,0,973.4,750,90,39.7
153,102,0,192,0,888,943.1,28,17.96
236,157,0,192,0,972.6,749.1,28,32.88
116,173,0,192,0,909.8,891.9,28,22.35
183.9,122.6,0,203.5,0,959.2,800,7,10.79
108.3,162.4,0,203.5,0,938.2,849,7,7.72
203.5,305.3,0,203.5,0,963.4,630,28,41.68
203.5,305.3,0,203.5,0,963.4,630,3,9.56
133,200,0,192,0,927.4,839.2,3,6.88
288,192,0,192,0,932,717.8,90,50.53
200,133,0,192,0,965.4,806.2,7,17.17
200,133,0,192,0,965.4,806.2,28,30.44
250.2,166.8,0,203.5,0,977.6,694.1,3,9.73
122.6,183.9,0,203.5,0,958.2,800.1,3,3.32
153,102,0,192,0,888,943.1,90,26.32
200,133,0,192,0,965.4,806.2,90,43.25
116,173,0,192,0,909.8,891.9,3,6.28
173,116,0,192,0,946.8,856.8,90,32.1
250.2,166.8,0,203.5,0,977.6,694.1,28,36.96
305.3,203.5,0,203.5,0,965.4,631,90,54.6
192,288,0,192,0,929.8,716.1,7,21.48
157,236,0,192,0,935.4,781.2,3,9.69
153,102,0,192,0,888,943.1,7,8.37
141.3,212,0,203.5,0,971.8,748.5,90,39.66
116,173,0,192,0,909.8,891.9,7,10.09
141.3,212,0,203.5,0,971.8,748.5,3,4.83
122.6,183.9,0,203.5,0,958.2,800.1,7,10.35
166.8,250.2,0,203.5,0,975.6,692.6,90,43.57
203.5,305.3,0,203.5,0,963.4,630,90,51.86
310,0,0,192,0,1012,830,3,11.85
310,0,0,192,0,1012,830,7,17.24
310,0,0,192,0,1012,830,28,27.83
310,0,0,192,0,1012,830,90,35.76
310,0,0,192,0,1012,830,120,38.7
331,0,0,192,0,1025,821,3,14.31
331,0,0,192,0,1025,821,7,17.44
331,0,0,192,0,1025,821,28,31.74
331,0,0,192,0,1025,821,90,37.91
331,0,0,192,0,1025,821,120,39.38
349,0,0,192,0,1056,809,3,15.87
349,0,0,192,0,1056,809,7,9.01
349,0,0,192,0,1056,809,28,33.61
349,0,0,192,0,1056,809,90,40.66
349,0,0,192,0,1056,809,120,40.86
238,0,0,186,0,1119,789,7,12.05
238,0,0,186,0,1119,789,28,17.54
296,0,0,186,0,1090,769,7,18.91
296,0,0,186,0,1090,769,28,25.18
297,0,0,186,0,1040,734,7,30.96
480,0,0,192,0,936,721,28,43.89
480,0,0,192,0,936,721,90,54.28
397,0,0,186,0,1040,734,28,36.94
281,0,0,186,0,1104,774,7,14.5
281,0,0,185,0,1104,774,28,22.44
500,0,0,200,0,1125,613,1,12.64
500,0,0,200,0,1125,613,3,26.06
500,0,0,200,0,1125,613,7,33.21
500,0,0,200,0,1125,613,14,36.94
500,0,0,200,0,1125,613,28,44.09
540,0,0,173,0,1125,613,7,52.61
540,0,0,173,0,1125,613,14,59.76
540,0,0,173,0,1125,613,28,67.31
540,0,0,173,0,1125,613,90,69.66
540,0,0,173,0,1125,613,180,71.62
540,0,0,173,0,1125,613,270,74.17
350,0,0,203,0,974,775,7,18.13
350,0,0,203,0,974,775,14,22.53
350,0,0,203,0,974,775,28,27.34
350,0,0,203,0,974,775,56,29.98
350,0,0,203,0,974,775,90,31.35
350,0,0,203,0,974,775,180,32.72
385,0,0,186,0,966,763,1,6.27
385,0,0,186,0,966,763,3,14.7
385,0,0,186,0,966,763,7,23.22
385,0,0,186,0,966,763,14,27.92
385,0,0,186,0,966,763,28,31.35
